Market Return : 1126.33%   |   Portfolio Return : -26.25%   |   position : 1   |   Portfolio Val : 737.5278565527011   |
Market Return : 1126.33%   |   Portfolio Return : -47.10%   |   position : -1   |   Portfolio Val : 529.0257200632532   |
Market Return : 1126.33%   |   Portfolio Return : 32.74%   |   position : 1   |   Portfolio Val : 1327.3579773277106   |
Market Return : 1126.33%   |   Portfolio Return : -75.97%   |   position : 1   |   Portfolio Val : 240.29335914836756   |
Market Return : 1126.33%   |   Portfolio Return : -8.41%   |   position : -1   |   Portfolio Val : 915.9168177145564   |
Market Return : 1126.33%   |   Portfolio Return : -74.33%   |   position : -1   |   Portfolio Val : 256.69015010099014   |
Market Return : 1126.33%   |   Portfolio Return : 117.84%   |   position : -1   |   Portfolio Val : 2178.4201838020467   |
Market Return : 1126.33%   |   Portfolio Return : -68.34%   |   position : -1   |   Portfolio Val : 316.5826992555922   |
Market Return : 1126.33%   |   Portfolio Return : -47.65%   |   position : 1   |   Portfolio Val : 523.5065257235132   |
Market Return : 1126.33%   |   Portfolio Return : 46.44%   |   position : 1   |   Portfolio Val : 1464.3596677687503   |
Market Return : 1126.33%   |   Portfolio Return : -27.72%   |   position : 1   |   Portfolio Val : 722.8310333880166   |
Market Return : 1126.33%   |   Portfolio Return : -53.53%   |   position : 1   |   Portfolio Val : 464.70722148140965   |
Market Return : 1126.33%   |   Portfolio Return : -61.58%   |   position : 1   |   Portfolio Val : 384.1641222699726   |
Market Return : 1126.33%   |   Portfolio Return : -66.82%   |   position : 1   |   Portfolio Val : 331.81277992360526   |
Market Return : 1126.33%   |   Portfolio Return : -65.31%   |   position : 0   |   Portfolio Val : 346.88477949890535   |
Market Return : 1126.33%   |   Portfolio Return : -87.37%   |   position : 1   |   Portfolio Val : 126.34486590917372   |
Market Return : 1126.33%   |   Portfolio Return : -38.97%   |   position : 1   |   Portfolio Val : 610.3261466267317   |
Market Return : 1126.33%   |   Portfolio Return : 45.06%   |   position : 0   |   Portfolio Val : 1450.584130685849   |
Market Return : 1126.33%   |   Portfolio Return : -74.50%   |   position : 0   |   Portfolio Val : 255.0479238998866   |
Market Return : 1126.33%   |   Portfolio Return : 161.69%   |   position : -1   |   Portfolio Val : 2616.8660575608624   |
Market Return : 1126.33%   |   Portfolio Return : 234.71%   |   position : -1   |   Portfolio Val : 3347.0787276122715   |
Market Return : 1126.33%   |   Portfolio Return : 32.49%   |   position : 1   |   Portfolio Val : 1324.9130398942725   |
Market Return : 1126.33%   |   Portfolio Return : -10.24%   |   position : -1   |   Portfolio Val : 897.5650747312945   |
Market Return : 1126.33%   |   Portfolio Return : -72.59%   |   position : 0   |   Portfolio Val : 274.05953644481315   |
Market Return : 1126.33%   |   Portfolio Return : -23.81%   |   position : 1   |   Portfolio Val : 761.9380349175547   |
Market Return : 1126.33%   |   Portfolio Return : -73.82%   |   position : -1   |   Portfolio Val : 261.8069543533788   |
Market Return : 1126.33%   |   Portfolio Return : -82.81%   |   position : 1   |   Portfolio Val : 171.9185841469421   |
Market Return : 1126.33%   |   Portfolio Return : -54.59%   |   position : 1   |   Portfolio Val : 454.12889243776067   |
Market Return : 1126.33%   |   Portfolio Return : -76.66%   |   position : 0   |   Portfolio Val : 233.35983767843643   |
Market Return : 1126.33%   |   Portfolio Return : 60.59%   |   position : 0   |   Portfolio Val : 1605.9324164392474   |
Market Return : 1126.33%   |   Portfolio Return : -39.84%   |   position : -1   |   Portfolio Val : 601.6301982783625   |
Market Return : 1126.33%   |   Portfolio Return : 53.81%   |   position : -1   |   Portfolio Val : 1538.0609391107587   |
Market Return : 1126.33%   |   Portfolio Return : -60.94%   |   position : 1   |   Portfolio Val : 390.588236848316   |
Market Return : 1126.33%   |   Portfolio Return : 25.84%   |   position : 0   |   Portfolio Val : 1258.4241260049596   |
Market Return : 1126.33%   |   Portfolio Return : -7.10%   |   position : -1   |   Portfolio Val : 928.9679512161254   |
Market Return : 1126.33%   |   Portfolio Return : -81.48%   |   position : 1   |   Portfolio Val : 185.24877627796087   |
Market Return : 1126.33%   |   Portfolio Return : -57.09%   |   position : -1   |   Portfolio Val : 429.0584253883373   |
Market Return : 1126.33%   |   Portfolio Return : -38.54%   |   position : -1   |   Portfolio Val : 614.601582892058   |
Market Return : 1126.33%   |   Portfolio Return : -74.19%   |   position : -1   |   Portfolio Val : 258.1374847715733   |
Market Return : 1126.33%   |   Portfolio Return : -64.40%   |   position : 1   |   Portfolio Val : 356.0086742723947   |
Market Return : 1126.33%   |   Portfolio Return : -41.79%   |   position : 1   |   Portfolio Val : 582.1089141124685   |
Market Return : 1126.33%   |   Portfolio Return : -43.57%   |   position : 0   |   Portfolio Val : 564.2637493602998   |
Market Return : 1126.33%   |   Portfolio Return : -4.02%   |   position : -1   |   Portfolio Val : 959.8369352846094   |
Market Return : 1126.33%   |   Portfolio Return : -31.94%   |   position : -1   |   Portfolio Val : 680.5581819902395   |
Market Return : 1126.33%   |   Portfolio Return : -17.51%   |   position : 0   |   Portfolio Val : 824.9091077457588   |
Market Return : 1126.33%   |   Portfolio Return : 22.02%   |   position : 1   |   Portfolio Val : 1220.1674056183322   |
Market Return : 1126.33%   |   Portfolio Return : -53.42%   |   position : 1   |   Portfolio Val : 465.8088097933743   |
Market Return : 1126.33%   |   Portfolio Return : -48.84%   |   position : 1   |   Portfolio Val : 511.62964317761435   |
Market Return : 1126.33%   |   Portfolio Return : -15.92%   |   position : 1   |   Portfolio Val : 840.8249295915283   |
Market Return : 1126.33%   |   Portfolio Return : -69.46%   |   position : 0   |   Portfolio Val : 305.3701092829025   |
Market Return : 1126.33%   |   Portfolio Return : -69.96%   |   position : 0   |   Portfolio Val : 300.40501950904843   |
Market Return : 1126.33%   |   Portfolio Return : 75.68%   |   position : 1   |   Portfolio Val : 1756.8139490374663   |
Market Return : 1126.33%   |   Portfolio Return : -75.85%   |   position : -1   |   Portfolio Val : 241.50736203122443   |
Market Return : 1126.33%   |   Portfolio Return : -73.50%   |   position : -1   |   Portfolio Val : 265.0006980838592   |
Market Return : 1126.33%   |   Portfolio Return : 32.64%   |   position : -1   |   Portfolio Val : 1326.4221026384039   |
Market Return : 1126.33%   |   Portfolio Return : -58.32%   |   position : 1   |   Portfolio Val : 416.75295376943313   |
Market Return : 1126.33%   |   Portfolio Return : -66.70%   |   position : -1   |   Portfolio Val : 332.9596794084328   |
Market Return : 1126.33%   |   Portfolio Return : -26.98%   |   position : 0   |   Portfolio Val : 730.204457820722   |
Market Return : 1126.33%   |   Portfolio Return : 143.04%   |   position : -1   |   Portfolio Val : 2430.354970678625   |
Market Return : 1126.33%   |   Portfolio Return : -32.27%   |   position : -1   |   Portfolio Val : 677.3398081604978   |
Market Return : 1126.33%   |   Portfolio Return : 27.79%   |   position : 0   |   Portfolio Val : 1277.8670927966432   |
Market Return : 1126.33%   |   Portfolio Return : -65.18%   |   position : 1   |   Portfolio Val : 348.18662711424713   |
Market Return : 1126.33%   |   Portfolio Return : -61.80%   |   position : -1   |   Portfolio Val : 381.98824646492466   |
Market Return : 1126.33%   |   Portfolio Return : -31.79%   |   position : -1   |   Portfolio Val : 682.076321137602   |
Market Return : 1126.33%   |   Portfolio Return : -69.47%   |   position : 0   |   Portfolio Val : 305.3026957793387   |
Market Return : 1126.33%   |   Portfolio Return : -63.34%   |   position : 1   |   Portfolio Val : 366.5543415426183   |
Market Return : 1126.33%   |   Portfolio Return : -27.80%   |   position : 0   |   Portfolio Val : 721.9587393851369   |
Market Return : 1126.33%   |   Portfolio Return : -80.42%   |   position : 0   |   Portfolio Val : 195.8168838407363   |
Market Return : 1126.33%   |   Portfolio Return : -58.99%   |   position : 1   |   Portfolio Val : 410.0582735273682   |
Market Return : 1126.33%   |   Portfolio Return : -69.96%   |   position : 1   |   Portfolio Val : 300.4496320160898   |
Market Return : 1126.33%   |   Portfolio Return : -47.57%   |   position : 1   |   Portfolio Val : 524.2525713918394   |
Market Return : 1126.33%   |   Portfolio Return :  3.39%   |   position : -1   |   Portfolio Val : 1033.9468034653305   |
Market Return : 1126.33%   |   Portfolio Return : 183.47%   |   position : 0   |   Portfolio Val : 2834.7324253189963   |
Market Return : 1126.33%   |   Portfolio Return : 54.21%   |   position : 0   |   Portfolio Val : 1542.138007300376   |
Market Return : 1126.33%   |   Portfolio Return : -63.20%   |   position : 1   |   Portfolio Val : 368.02897774850493   |
Market Return : 1126.33%   |   Portfolio Return : -17.49%   |   position : 1   |   Portfolio Val : 825.1381746822735   |
Market Return : 1126.33%   |   Portfolio Return : -21.69%   |   position : 1   |   Portfolio Val : 783.057688167586   |
Market Return : 1126.33%   |   Portfolio Return :  5.83%   |   position : 1   |   Portfolio Val : 1058.3305769002848   |
Market Return : 1126.33%   |   Portfolio Return : -89.41%   |   position : 1   |   Portfolio Val : 105.90285657826568   |
Market Return : 1126.33%   |   Portfolio Return : 40.65%   |   position : 1   |   Portfolio Val : 1406.4776804421745   |
Market Return : 1126.33%   |   Portfolio Return : -58.50%   |   position : -1   |   Portfolio Val : 415.01835899804615   |
