SPS: 102
Market Return : 59.13%   |   Portfolio Return : -14.45%   |   position : 0   |   portfolio_valuation : 855.4993605965947   |
Market Return : 59.13%   |   Portfolio Return : -51.81%   |   position : -1   |   portfolio_valuation : 481.9221136952467   |
Market Return : 59.13%   |   Portfolio Return : -16.85%   |   position : -1   |   portfolio_valuation : 831.5394830341654   |
Market Return : 59.13%   |   Portfolio Return : -40.66%   |   position : -1   |   portfolio_valuation : 593.4496931164846   |
Market Return : 59.13%   |   Portfolio Return : 28.48%   |   position : -1   |   portfolio_valuation : 1284.8304379388874   |
Market Return : 59.13%   |   Portfolio Return : -22.60%   |   position : 1   |   portfolio_valuation : 774.010687499017   |
Market Return : 59.13%   |   Portfolio Return : 22.89%   |   position : -1   |   portfolio_valuation : 1228.873182716895   |
Market Return : 59.13%   |   Portfolio Return : -57.41%   |   position : 1   |   portfolio_valuation : 425.86570654249005   |
Market Return : 59.13%   |   Portfolio Return : 21.30%   |   position : 1   |   portfolio_valuation : 1213.0290912153   |
Market Return : 59.13%   |   Portfolio Return :  1.34%   |   position : 1   |   portfolio_valuation : 1013.4452731534624   |
Market Return : 59.13%   |   Portfolio Return : -39.31%   |   position : -1   |   portfolio_valuation : 606.8847555255181   |
Market Return : 59.13%   |   Portfolio Return : -27.20%   |   position : 1   |   portfolio_valuation : 728.0070302608844   |
Market Return : 59.13%   |   Portfolio Return : 10.90%   |   position : -1   |   portfolio_valuation : 1109.0331177676628   |
Market Return : 59.13%   |   Portfolio Return : -43.42%   |   position : 0   |   portfolio_valuation : 565.775461802784   |
Market Return : 59.13%   |   Portfolio Return : 14.69%   |   position : -1   |   portfolio_valuation : 1146.8920974606185   |
Market Return : 59.13%   |   Portfolio Return : 55.74%   |   position : 0   |   portfolio_valuation : 1557.3718762327755   |
Market Return : 59.13%   |   Portfolio Return : -25.43%   |   position : 1   |   portfolio_valuation : 745.7366592952977   |
Market Return : 59.13%   |   Portfolio Return : 23.87%   |   position : 1   |   portfolio_valuation : 1238.7160199932518   |
Market Return : 59.13%   |   Portfolio Return : 16.64%   |   position : -1   |   portfolio_valuation : 1166.382845858375   |
Market Return : 59.13%   |   Portfolio Return :  4.69%   |   position : -1   |   portfolio_valuation : 1046.8707699772885   |
Market Return : 59.13%   |   Portfolio Return : 16.26%   |   position : -1   |   portfolio_valuation : 1162.5562947132175   |
Market Return : 59.13%   |   Portfolio Return : -9.90%   |   position : 1   |   portfolio_valuation : 901.0193655568725   |
Market Return : 59.13%   |   Portfolio Return : -15.67%   |   position : 0   |   portfolio_valuation : 843.3215029535186   |
Market Return : 59.13%   |   Portfolio Return : -44.26%   |   position : 0   |   portfolio_valuation : 557.4399642199473   |
Market Return : 59.13%   |   Portfolio Return : -14.79%   |   position : 0   |   portfolio_valuation : 852.10307504956   |
Market Return : 59.13%   |   Portfolio Return : 27.01%   |   position : 1   |   portfolio_valuation : 1270.146066450436   |
Market Return : 59.13%   |   Portfolio Return : 16.76%   |   position : 1   |   portfolio_valuation : 1167.5534360201182   |
Market Return : 59.13%   |   Portfolio Return : -32.14%   |   position : 1   |   portfolio_valuation : 678.5986585488971   |
Market Return : 59.13%   |   Portfolio Return : -46.43%   |   position : 0   |   portfolio_valuation : 535.6895607305532   |
Market Return : 59.13%   |   Portfolio Return : -17.17%   |   position : 1   |   portfolio_valuation : 828.2791461513102   |
Market Return : 59.13%   |   Portfolio Return : 17.78%   |   position : 0   |   portfolio_valuation : 1177.8359830573104   |
Market Return : 59.13%   |   Portfolio Return :  0.87%   |   position : -1   |   portfolio_valuation : 1008.6873387764583   |
Market Return : 59.13%   |   Portfolio Return : 19.02%   |   position : 0   |   portfolio_valuation : 1190.2020319936785   |
Market Return : 59.13%   |   Portfolio Return : -30.12%   |   position : 0   |   portfolio_valuation : 698.8137698781882   |
Market Return : 59.13%   |   Portfolio Return : 64.67%   |   position : -1   |   portfolio_valuation : 1646.723374065403   |
Market Return : 59.13%   |   Portfolio Return : 82.68%   |   position : 0   |   portfolio_valuation : 1826.795858328103   |
Market Return : 59.13%   |   Portfolio Return : -22.07%   |   position : 0   |   portfolio_valuation : 779.3459762650189   |
Market Return : 59.13%   |   Portfolio Return : -31.18%   |   position : -1   |   portfolio_valuation : 688.193562995869   |
Market Return : 59.13%   |   Portfolio Return : -36.57%   |   position : 1   |   portfolio_valuation : 634.279234626483   |
